Year,Month,Price_alum,Price_gold,Price_nickel,Price_silver,Price_uran,Inflation_rate,Price_alum_infl,Price_gold_infl,Price_nickel_infl,Price_silver_infl,Price_uran_infl
1995,Feb,1916.15,376.64,8505.45,4.72,11.15,74.58,3345.21467,657.538112,14848.81461,8.240176,19.46567
1995,Mar,1805.07,382.12,7531.91,4.65,11.8,74.58,3151.291206,667.105096,13149.20848,8.11797,20.60044
1995,Apr,1849,391.03,7397.83,5.48,11.85,74.58,3227.9842,682.660174,12915.13161,9.566984,20.68773
1995,May,1762.69,385.22,7232.19,5.56,11.9,74.58,3077.304202,672.517076,12625.9573,9.706648,20.77502
1995,Jun,1780.05,387.56,7871.57,5.36,11.7,74.58,3107.61129,676.602248,13742.18691,9.357488,20.42586
1995,Jul,1860.1,386.23,8596.57,5.16,11.7,74.58,3247.36258,674.280334,15007.89191,9.008328,20.42586
1995,Aug,1888.32,383.67,8944.66,5.4,11.7,74.58,3296.629056,669.811086,15615.58743,9.42732,20.42586
1995,Sep,1760.83,383.06,8405.21,5.43,11.85,74.58,3074.057014,668.746148,14673.81562,9.479694,20.68773
1995,Oct,1674.32,383.14,8061.73,5.37,11.85,74.58,2923.027856,668.885812,14074.16823,9.374946,20.68773
1995,Nov,1654.07,385.31,8505.91,5.32,11.85,74.58,2887.675406,672.674198,14849.61768,9.287656,20.68773
1995,Dec,1656.74,387.44,8090.89,5.18,11.85,74.58,2892.336692,676.392752,14125.07576,9.043244,20.68773
1996,Jan,1589.34,399.45,7862.05,5.46,12.2,69.6,2695.52064,677.4672,13334.0368,9.26016,20.6912
1996,Feb,1591.55,404.76,8215.55,5.66,15.75,69.6,2699.2688,686.47296,13933.5728,9.59936,26.712
1996,Mar,1612.48,396.21,8021.74,5.52,15.75,69.6,2734.76608,671.97216,13604.87104,9.36192,26.712
1996,Apr,1587.23,392.85,8042.85,5.42,15.99,69.6,2691.94208,666.2736,13640.6736,9.19232,27.11904
1996,May,1589.26,391.93,8026.55,5.37,16.38,69.6,2695.38496,664.71328,13613.0288,9.10752,27.78048
